"gamma","beta","rho","lp"
0.234197673348612,0.252885568520472,0.00534882307355448,-6862.17254795855
0.216213091536271,0.230426935352306,0.00588187333597499,-6860.80274764499
0.216555585779472,0.23678285975479,0.00656852547929787,-6858.6929412851
0.215920828009934,0.237793785391263,0.00636345291001149,-6858.99519079398
0.219938054539814,0.234419236611291,0.00607179398424518,-6860.74254051943
0.209151621228841,0.229368874334364,0.00687777930790031,-6858.99750888477
0.224835847947889,0.254849551791715,0.00624149725688152,-6861.87268287939
0.204888701362367,0.219724894910417,0.00739752875173109,-6861.90452007418
0.213189976590934,0.227606573691322,0.00721111113711109,-6862.56480087364
0.205754218753123,0.226891649912939,0.00737317370036911,-6859.25846574134
0.208710741873576,0.233959962840642,0.00725787112847511,-6859.18621452148
0.215062701072305,0.230521643491197,0.00657342949828836,-6860.2237251678
0.20765813538869,0.227507710653911,0.00734942275957828,-6859.28101070248
0.20528994108965,0.226997805434235,0.00725364931122083,-6859.31717387899
0.194807844492157,0.213810764611885,0.00825272946325105,-6862.57831532635
0.20308061597774,0.219071658599009,0.00764355991766482,-6861.71150206699
0.206073561955426,0.224378429560938,0.00754247913285771,-6860.145169686
0.204638804411077,0.220822530997489,0.00746685246612303,-6861.13174648954
0.215550465796284,0.239128599390736,0.00711265421510766,-6858.87925034114
0.221158985259177,0.243698813779852,0.0059591959667873,-6859.85140235379
0.215397479835942,0.239716504017021,0.00683057368690912,-6858.72902064685
0.19137938384209,0.202371931061746,0.00727757557764052,-6867.64257699096
0.217300556137609,0.238536575755694,0.00701364262373042,-6859.04135114887
0.205562263879859,0.226017037741767,0.00748693570450457,-6859.44887135322
0.19805610180877,0.221135410417265,0.00835692652626649,-6861.38233155051
0.200167449917391,0.222675680063604,0.00801750347492571,-6860.51780061135
0.211888475076707,0.235910369316178,0.00754324938249636,-6859.4279002003
0.218864833860489,0.236207579988692,0.00639314612111564,-6859.47112072405
0.208872801028081,0.228305125402433,0.0073666639683298,-6859.39726319299
0.213590156860656,0.232563170788788,0.00716922301682468,-6859.46573333152
0.215317719116242,0.235004046856567,0.00709352369335953,-6859.27424983359
0.231166959219331,0.26118736745151,0.00633470574976341,-6863.38362906035
0.218914315673393,0.242185347776542,0.0065742385800676,-6858.7459446838
0.21279684538025,0.229800554790874,0.00662665660926365,-6859.47198453472
0.206842942492004,0.231621845220914,0.00665340050370249,-6860.78139099259
0.213426064587141,0.231385737776926,0.00600145649140199,-6860.30864678389
0.21835893666308,0.230951465416263,0.00591438401912214,-6861.70852213329
0.208105658189795,0.228087796360523,0.00783336822772646,-6860.38485348484
0.212037351273863,0.239064948049529,0.00768817691126999,-6860.55088715641
0.209087088585424,0.227056992235075,0.00657361357090545,-6859.65746190852
0.210554532496923,0.229906865347285,0.00740517460122234,-6859.58560956221
0.222844457360772,0.248032075622459,0.00618823173958538,-6859.73102557514
0.204437692388274,0.22178259090194,0.00658400567306955,-6860.90878995604
0.211755444153837,0.238844146024227,0.00728073445559483,-6859.62197348651
0.230828528832827,0.260549621930929,0.00598167876519172,-6862.91153907052
0.205836573354089,0.223110372897019,0.00615063192246163,-6861.9518492542
0.213321608312104,0.240673477679876,0.0078169580747679,-6861.47584899097
0.220635805442976,0.24062271567399,0.00687844604922295,-6859.68480144802
0.203005426350797,0.219474116387297,0.00788812371870805,-6862.0583691223
0.209528274814178,0.231943771711975,0.00770378601522447,-6859.61285861771
0.205656164648202,0.227796881483797,0.007006329738902,-6859.54654274103
0.200788089683006,0.2218403016192,0.00762826151982089,-6860.22890546672
0.214559580340291,0.240515505020756,0.00717092411212251,-6859.27053778887
0.204922410763711,0.221883902491917,0.00712959588973878,-6860.29803976195
0.219093146592904,0.245523390130672,0.00700033543779545,-6859.73493366137
0.208446890074302,0.241721951144985,0.00732893877300914,-6863.63640781639
0.220103050336413,0.24039650369444,0.00689444477821624,-6859.51253784317
0.224646873692256,0.247635060230089,0.006080325218833,-6859.56358411572
0.210024594796997,0.229131166530459,0.00703954208924963,-6859.07877000046
0.233362929827222,0.255663354757108,0.0055708820915998,-6861.60641145447
0.208142767791589,0.229997724465925,0.00704784896754206,-6858.95442017339
0.215496896135906,0.230354907304261,0.00634027093891312,-6860.36174458128
0.198198402444579,0.218081576743504,0.00823860916498639,-6861.60513223583
0.22592188595812,0.248481277563961,0.00611175437368977,-6859.59568887609
0.20464950974737,0.225035116693053,0.00795685827948237,-6860.40019364827
0.211887506646362,0.239352861421487,0.00735748536472989,-6859.87396968225
0.218533446311692,0.235749888055851,0.00685741715686117,-6860.33326163071
0.208698292252411,0.225833642166847,0.00644694988184248,-6860.09178493777
0.215849338032832,0.236250042136661,0.00703198693529396,-6859.02259450605
0.222664329475206,0.24307342320931,0.00578780725241302,-6860.07088577057
0.213432129493028,0.241444416711057,0.00671297018017905,-6860.13188723746
0.207730933106138,0.231388080246736,0.00692577397505615,-6859.38214005869
0.207919900443207,0.233825415280638,0.00745162110203396,-6859.48159218887
0.213390485291792,0.230351102903867,0.00658590853418316,-6859.46844719315
0.209304365373045,0.224321872686911,0.00635204751732794,-6860.64082673708
0.212757541404339,0.236399809276843,0.00695935318987972,-6858.65910742249
0.215879895934174,0.235256877380633,0.00673511887630332,-6858.85339858575
0.218852102203361,0.240789653069207,0.0067920745004377,-6858.81267502083
0.220797634477226,0.244132296632227,0.00629730026790465,-6859.08478991452
0.203695883525324,0.222980080595313,0.00820364453480169,-6861.55440416947
0.214700455905754,0.231927597745518,0.00600177293924275,-6860.07949403403
0.22609111467425,0.241699585270399,0.00531414097949671,-6861.66953206125
0.202684910128265,0.223504394915816,0.00742502445897907,-6859.83222214143
0.220545220438852,0.242758552386794,0.00660624655265384,-6858.84399007036
0.217926750849984,0.2418468258192,0.00632996145062302,-6859.21478520792
0.224837831817034,0.246593039993923,0.00624419353504254,-6859.34355671591
0.212436731354729,0.226316932261502,0.00552447854194508,-6862.36888819517
