"gamma","beta","rho","lp"
0.189129307657632,0.235365846573315,0.0048550067364318,-7623.33553518884
0.188994793814948,0.226974197589122,0.00503504321524371,-7621.09473369716
0.185108529009131,0.2229251624086,0.00513341150215503,-7621.34648230267
0.185988582916523,0.229018540664586,0.00510229007284638,-7622.11520580915
0.174674975901558,0.208456804531553,0.00550706262527864,-7625.17531821328
0.201255848576963,0.246834256526386,0.00448316376686425,-7624.93341350497
0.187437716362693,0.221690190703702,0.00491799898558869,-7621.58382964645
0.200998395433059,0.231006582585554,0.00427226387098128,-7624.79029512313
0.183501596408715,0.219836449923395,0.0055564112519402,-7622.45207948136
0.185538853195202,0.217627260786231,0.00514186464947333,-7622.64879845562
0.194966985657117,0.235653282917783,0.00449585703331268,-7621.60290767294
0.195529697796304,0.232039604563694,0.00573839336663843,-7626.75225528401
0.186986271303708,0.229322564507265,0.00518030313069236,-7622.03255248668
0.195795127546409,0.23009588957436,0.00456972896838251,-7621.9505343282
0.183970109225534,0.222070028927877,0.00458753106600598,-7622.55437371845
0.195000987895601,0.235146544665435,0.00476802325580207,-7621.56630957186
0.189471638923601,0.230332668975699,0.00478302281412751,-7621.19814539313
0.196424854724544,0.234604095083115,0.00454091181615863,-7621.56728404702
0.189316723760923,0.231186576403039,0.00495975496134117,-7621.5179337387
0.186661342943854,0.22567960225802,0.00487296399100439,-7621.16737242218
0.183975032239113,0.222762638293547,0.00509255219209434,-7621.48465476313
0.174941887539556,0.210301098341895,0.00519215463737777,-7624.95822995395
0.187700258200328,0.227962159328159,0.00477799450098232,-7621.23719435664
0.193969391299481,0.230498086112265,0.00419173311671608,-7622.44739234846
0.194792114055365,0.230157971234946,0.00432036928728827,-7622.0270916746
0.193899264096504,0.226782825066942,0.0047824964015282,-7622.23547437761
0.182606300816747,0.22139806723498,0.00485510444113657,-7622.08981598227
0.202161256848239,0.242716779984091,0.00471636316470523,-7623.94468647044
0.196054030362835,0.237716019781195,0.00426134534970547,-7622.40233550631
0.198526022087003,0.229055469341035,0.00433543762502365,-7623.87493518247
0.195832058320024,0.23990682497963,0.00438864227162625,-7622.71718830213
0.176965432777752,0.209111403642231,0.00528148071326685,-7624.73549326934
0.188178670277029,0.218520669610683,0.00510500624855338,-7623.47607296059
0.190795594126251,0.226326648497568,0.0050016124860834,-7621.41013776609
0.192963994866468,0.232100704389453,0.00462244262351272,-7621.15901778826
0.19014938943483,0.232155344923818,0.00523353818116221,-7622.45370548295
0.197814805635018,0.238341456936205,0.00382693838829454,-7624.91234772904
0.195463667705731,0.229670360023832,0.00521618253163246,-7623.57887985108
0.198436384575382,0.239029392595886,0.00454167330935413,-7622.18618383552
0.187227984998627,0.223025487456775,0.00454585416739586,-7621.93240911929
0.1967572547533,0.231784694524175,0.0043549380715111,-7622.13690088111
0.184808824921695,0.225936273816101,0.0048158020416965,-7621.77681544245
0.19221872909464,0.229687666195257,0.00442934899178561,-7621.53925461478
0.192785736870912,0.223577169542575,0.00422420437351283,-7623.37310331151
0.19752842771679,0.23675690293786,0.00487187569580662,-7622.38336262208
0.19283852521932,0.232095613217741,0.00445624985434128,-7621.4530468216
0.196257865658035,0.229751870437653,0.004453067064086,-7622.28530353382
0.18770269271315,0.219169633846419,0.00458032205396639,-7622.72740739908
